1 --> sim_2014
Date of simulation:  10/06/2015,14:08:40
Description:  
1 02/08/2014,00:00:00  0.00000000000000E+0000
1 03/08/2014,00:00:00  0.00000000000000E+0000
1 04/08/2014,00:00:00  0.00000000000000E+0000
1 05/08/2014,00:00:00  0.00000000000000E+0000
1 06/08/2014,00:00:00  0.00000000000000E+0000
1 07/08/2014,00:00:00  0.00000000000000E+0000
1 08/08/2014,00:00:00  0.00000000000000E+0000
1 09/08/2014,00:00:00  0.00000000000000E+0000
1 10/08/2014,00:00:00  0.00000000000000E+0000
1 11/08/2014,00:00:00  0.00000000000000E+0000
1 12/08/2014,00:00:00  0.00000000000000E+0000
1 13/08/2014,00:00:00  0.00000000000000E+0000
1 14/08/2014,00:00:00  0.00000000000000E+0000
1 15/08/2014,00:00:00  0.00000000000000E+0000
1 16/08/2014,00:00:00  0.00000000000000E+0000
1 17/08/2014,00:00:00  0.00000000000000E+0000
1 18/08/2014,00:00:00  0.00000000000000E+0000
1 19/08/2014,00:00:00  0.00000000000000E+0000
1 20/08/2014,00:00:00  0.00000000000000E+0000
1 21/08/2014,00:00:00  0.00000000000000E+0000
1 22/08/2014,00:00:00  0.00000000000000E+0000
1 23/08/2014,00:00:00  0.00000000000000E+0000
1 24/08/2014,00:00:00  0.00000000000000E+0000
1 25/08/2014,00:00:00  0.00000000000000E+0000
1 26/08/2014,00:00:00  0.00000000000000E+0000
1 27/08/2014,00:00:00  0.00000000000000E+0000
1 28/08/2014,00:00:00  0.00000000000000E+0000
1 29/08/2014,00:00:00  0.00000000000000E+0000
1 30/08/2014,00:00:00  0.00000000000000E+0000
1 31/08/2014,00:00:00  0.00000000000000E+0000
1 01/09/2014,00:00:00  0.00000000000000E+0000
1 02/09/2014,00:00:00  0.00000000000000E+0000
1 03/09/2014,00:00:00  0.00000000000000E+0000
1 04/09/2014,00:00:00  0.00000000000000E+0000
1 05/09/2014,00:00:00  0.00000000000000E+0000
1 06/09/2014,00:00:00  0.00000000000000E+0000
1 07/09/2014,00:00:00  0.00000000000000E+0000
1 08/09/2014,00:00:00  0.00000000000000E+0000
1 09/09/2014,00:00:00  0.00000000000000E+0000
1 10/09/2014,00:00:00  0.00000000000000E+0000
1 11/09/2014,00:00:00  0.00000000000000E+0000
1 12/09/2014,00:00:00  0.00000000000000E+0000
1 13/09/2014,00:00:00  0.00000000000000E+0000
1 14/09/2014,00:00:00  0.00000000000000E+0000
1 15/09/2014,00:00:00  0.00000000000000E+0000
1 16/09/2014,00:00:00  0.00000000000000E+0000
1 17/09/2014,00:00:00  0.00000000000000E+0000
1 18/09/2014,00:00:00  0.00000000000000E+0000
1 19/09/2014,00:00:00  0.00000000000000E+0000
1 20/09/2014,00:00:00  0.00000000000000E+0000
1 21/09/2014,00:00:00  0.00000000000000E+0000
1 22/09/2014,00:00:00  0.00000000000000E+0000
1 23/09/2014,00:00:00  0.00000000000000E+0000
