1 --> sim
Date of simulation:  23/01/2015,10:07:27
1 28/03/2010,00:00:00  0.00000000000000E+0000
1 29/03/2010,00:00:00  0.00000000000000E+0000
1 30/03/2010,00:00:00  0.00000000000000E+0000
1 31/03/2010,00:00:00  1.36886799281801E-0003
1 01/04/2010,00:00:00  6.37696196807370E-0002
1 02/04/2010,00:00:00  0.00000000000000E+0000
1 03/04/2010,00:00:00  0.00000000000000E+0000
1 04/04/2010,00:00:00  0.00000000000000E+0000
1 05/04/2010,00:00:00  0.00000000000000E+0000
1 06/04/2010,00:00:00  0.00000000000000E+0000
1 07/04/2010,00:00:00  0.00000000000000E+0000
1 08/04/2010,00:00:00  2.40602572376139E-0001
1 09/04/2010,00:00:00  0.00000000000000E+0000
1 10/04/2010,00:00:00  0.00000000000000E+0000
1 11/04/2010,00:00:00  0.00000000000000E+0000
1 12/04/2010,00:00:00  0.00000000000000E+0000
1 13/04/2010,00:00:00  0.00000000000000E+0000
1 14/04/2010,00:00:00  1.21035757984299E-0002
1 15/04/2010,00:00:00  1.42116901233622E-0003
1 16/04/2010,00:00:00  1.37950990598709E-0001
1 17/04/2010,00:00:00  0.00000000000000E+0000
1 18/04/2010,00:00:00  0.00000000000000E+0000
1 19/04/2010,00:00:00  0.00000000000000E+0000
1 20/04/2010,00:00:00  0.00000000000000E+0000
1 21/04/2010,00:00:00  0.00000000000000E+0000
1 22/04/2010,00:00:00  0.00000000000000E+0000
1 23/04/2010,00:00:00  1.49644028419380E-0003
1 24/04/2010,00:00:00  0.00000000000000E+0000
1 25/04/2010,00:00:00  0.00000000000000E+0000
1 26/04/2010,00:00:00  0.00000000000000E+0000
1 27/04/2010,00:00:00  0.00000000000000E+0000
1 28/04/2010,00:00:00  0.00000000000000E+0000
1 29/04/2010,00:00:00  0.00000000000000E+0000
1 30/04/2010,00:00:00  0.00000000000000E+0000
1 01/05/2010,00:00:00  0.00000000000000E+0000
1 02/05/2010,00:00:00  0.00000000000000E+0000
1 03/05/2010,00:00:00  0.00000000000000E+0000
1 04/05/2010,00:00:00  0.00000000000000E+0000
1 05/05/2010,00:00:00  0.00000000000000E+0000
1 06/05/2010,00:00:00  0.00000000000000E+0000
1 07/05/2010,00:00:00  0.00000000000000E+0000
1 08/05/2010,00:00:00  0.00000000000000E+0000
